sheet,slug,bank_class,period_bs,n_obs,min,max,rel_diff,files
C6,others,system_total,Magh 2081 (Mid-Feb 2024),4,9.06845753,13731.725905344412,1513.229499329685,Magh_2080_Publish=13731.73; Magh_2080_Publish=9.07; Falgun_2080_Publish-1=13731.73; Falgun_2080_Publish-1=9.07
C6,others,commercial,Ashwin 2079 (Mid-Oct 2022),4,5.3588433,8091.204565184291,1508.8789257719648,Asoj_2079_PublishV1=8091.20; Asoj_2079_PublishV1=5.36; Kartik2079_publish=8091.20; Kartik2079_publish=5.36
C6,others,commercial,Poush 2081 (Mid-Jan 2024),4,7.64116353,11378.097807148599,1488.0530430970373,Poush_2080_Publish-2=11378.10; Poush_2080_Publish-2=7.64; Magh_2080_Publish=11378.10; Magh_2080_Publish=7.64
C6,others,system_total,Poush 2081 (Mid-Jan 2024),4,8.14834608,11840.330908176205,1452.0962224638606,Poush_2080_Publish-2=11840.33; Poush_2080_Publish-2=8.15; Magh_2080_Publish=11840.33; Magh_2080_Publish=8.15
C5,profit-loss-a-c,commercial,Magh 2080 (Mid-Feb 2023),4,27.947917875620078,39396.44869982474,1408.638058733227,Magh_2079_Publish-4=39396.45; Magh_2079_Publish-4=27.95; Falgun_2079_Publish-4=39396.45; Falgun_2079_Publish-4=27.95
C6,others,commercial,Jestha 2080 (Mid-June 2023),4,16.36831812999999,22909.367248887927,1398.6164460476514,Jestha_2080_Publish=22909.37; Jestha_2080_Publish=16.37; Asar_2080_Publish=22909.37; Asar_2080_Publish=16.37
C6,others,system_total,Bhadra 2079 (Mid-Sept 2022),4,4.255047959999999,5837.725238537837,1370.9528647892932,Bhadra_2079_Publish=5837.73; Bhadra_2079_Publish=4.26; Asoj_2079_PublishV1=5837.73; Asoj_2079_PublishV1=4.26
C6,others,system_total,Mangsir 2080 (Mid-Dec 2023),4,7.36360343,9966.055786599358,1352.4210364991584,Mangshir_2080_Publish=9966.06; Mangshir_2080_Publish=7.36; Poush_2080_Publish-2=9966.06; Poush_2080_Publish-2=7.36
C5,profit-loss-a-c,commercial,Chait 2082 (Mid-Apr 2025),4,30.74483862448369,41281.88908578255,1341.7258340822016,Chaitra_2081_Publish=41281.89; Chaitra_2081_Publish=30.74; Baisakh_2082_Publish-1=41281.89; Baisakh_2082_Publish-1=30.74
C6,others,commercial,Mangsir 2080 (Mid-Dec 2023),4,7.2169592300000005,9575.643589764928,1325.8252299334283,Mangshir_2080_Publish=9575.64; Mangshir_2080_Publish=7.22; Poush_2080_Publish-2=9575.64; Poush_2080_Publish-2=7.22
C6,others,commercial,Bhadra 2079 (Mid-Sept 2022),4,4.255047959999999,5520.627726167836,1296.4302000976359,Bhadra_2079_Publish=5520.63; Bhadra_2079_Publish=4.26; Asoj_2079_PublishV1=5520.63; Asoj_2079_PublishV1=4.26
